QUARTET_TYPE	COUNT(ab|cd)	COUNT(ac|bd)	COUNT(ad|bc)
C12-C12-C3-C4	58239	253	253
C12-C12-C3-C5	58147	345	345
C12-C12-C3-C6	116350	634	634
C12-C12-C3-C7	58203	289	289
C12-C12-C3-C8	58199	293	293
C12-C12-C3-C9	174644	832	832
C12-C12-C4-C5	58160	332	332
C12-C12-C4-C6	116336	648	648
C12-C12-C4-C7	58245	247	247
C12-C12-C4-C8	58241	251	251
C12-C12-C4-C9	174655	821	821
C12-C12-C5-C6	116213	771	771
C12-C12-C5-C7	58152	340	340
C12-C12-C5-C8	58148	344	344
C12-C12-C5-C9	174537	939	939
C12-C12-C6-C6	58342	150	150
C12-C12-C6-C7	116411	573	573
C12-C12-C6-C8	116354	630	630
C12-C12-C6-C9	349136	1816	1816
C12-C12-C7-C8	58219	273	273
C12-C12-C7-C9	174694	782	782
C12-C12-C8-C9	174871	605	605
C12-C12-C9-C9	175097	379	379
C12-C13-C2-C2	49438	698	698
C12-C13-C6-C6	16657	55	55
C12-C13-C9-C9	49977	159	159
C12-C14-C2-C2	49470	666	666
C12-C14-C6-C6	16673	39	39
C12-C14-C9-C9	50015	121	121
C12-C2-C2-C2	16712	16712	16712
C12-C2-C2-C3	480	480	49656
C12-C2-C2-C4	612	612	49524
C12-C2-C2-C5	596	596	49540
C12-C2-C2-C6	1208	1208	99064
C12-C2-C2-C7	622	622	49514
C12-C2-C2-C8	698	698	49438
C12-C2-C2-C9	1944	1944	148464
C12-C2-C6-C6	49963	173	173
C12-C2-C9-C9	149807	601	601
C12-C3-C6-C6	16618	94	94
C12-C3-C9-C9	49939	197	197
C12-C4-C6-C6	16584	128	128
C12-C4-C9-C9	49915	221	221
C12-C5-C6-C6	16647	65	65
C12-C5-C9-C9	49947	189	189
C12-C6-C6-C7	96	96	16616
C12-C6-C6-C8	117	117	16595
C12-C6-C6-C9	330	330	49806
C12-C6-C9-C9	99842	430	430
C12-C7-C9-C9	49873	263	263
C12-C8-C9-C9	21507	28629	28629
C12-C9-C9-C9	16712	16712	16712
C13-C14-C2-C2	6247	20	20
C13-C14-C6-C6	2087	2	2
C13-C14-C9-C9	6258	9	9
C13-C2-C2-C2	2089	2089	2089
